# retrieved from http://www.ensembl.org/biomart/martview/d81b6aef15e4e70f94d34db8b8f23110?VIRTUALSCHEMANAME=default&ATTRIBUTES=drerio_gene_ensembl.default.homologs.ensembl_gene_id|drerio_gene_ensembl.default.homologs.external_gene_name|drerio_gene_ensembl.default.homologs.mmusculus_homolog_ensembl_gene|drerio_gene_ensembl.default.homologs.mmusculus_homolog_associated_gene_name&FILTERS=drerio_gene_ensembl.default.filters.with_mmusculus_homolog.only&VISIBLEPANEL=attributepanel
Gene stable ID,Gene name,Mouse gene stable ID,Mouse gene name
ENSDARG00000063344,fam162a,ENSMUSG00000003955,Fam162a
ENSDARG00000036008,caly,ENSMUSG00000025468,Caly
ENSDARG00000069301,tmem177,ENSMUSG00000036975,Tmem177
ENSDARG00000104901,ostc,ENSMUSG00000041084,Ostc
ENSDARG00000031836,vps37c,ENSMUSG00000048832,Vps37c
ENSDARG00000103391,rab9b,ENSMUSG00000043463,Rab9b
ENSDARG00000030463,tppp3,ENSMUSG00000014846,Tppp3
ENSDARG00000070447,slc39a9,ENSMUSG00000048833,Slc39a9
ENSDARG00000036109,mtx1b,ENSMUSG00000064068,Mtx1
ENSDARG00000029612,gpkow,ENSMUSG00000031148,Gpkow
ENSDARG00000075759,samd4a,ENSMUSG00000021838,Samd4
ENSDARG00000057635,wdr34,ENSMUSG00000039715,Wdr34
ENSDARG00000032737,gria3a,ENSMUSG00000001986,Gria3
ENSDARG00000053517,si:dkey-1f12.3,ENSMUSG00000051166,Eml5
ENSDARG00000015793,creb3l1,ENSMUSG00000027230,Creb3l1
ENSDARG00000025206,syt2a,ENSMUSG00000026452,Syt2
ENSDARG00000076270,adamts13,ENSMUSG00000014852,Adamts13
ENSDARG00000087916,tmem240a,ENSMUSG00000084845,Tmem240
ENSDARG00000023058,foxo3a,ENSMUSG00000052135,Foxo6
ENSDARG00000100738,osmr,ENSMUSG00000054263,Lifr
ENSDARG00000067711,parvg,ENSMUSG00000022439,Parvg
ENSDARG00000068468,dnah3,ENSMUSG00000052273,Dnah3
ENSDARG00000078805,ap5b1,ENSMUSG00000049562,Ap5b1
ENSDARG00000058893,nhej1,ENSMUSG00000026162,Nhej1
ENSDARG00000088881,si:dkeyp-69b9.3,ENSMUSG00000020542,Myocd
ENSDARG00000062376,nlgn3b,ENSMUSG00000060560,Ces4a
ENSDARG00000062376,nlgn3b,ENSMUSG00000058019,Ces5a
ENSDARG00000062376,nlgn3b,ENSMUSG00000031886,Ces2e
ENSDARG00000062376,nlgn3b,ENSMUSG00000062826,Ces2f
ENSDARG00000062376,nlgn3b,ENSMUSG00000031877,Ces2g
ENSDARG00000062376,nlgn3b,ENSMUSG00000050097,Ces2b
ENSDARG00000062376,nlgn3b,ENSMUSG00000061825,Ces2c
ENSDARG00000062376,nlgn3b,ENSMUSG00000055730,Ces2a
ENSDARG00000062376,nlgn3b,ENSMUSG00000056973,Ces1d
ENSDARG00000062376,nlgn3b,ENSMUSG00000078964,Ces1b
ENSDARG00000062376,nlgn3b,ENSMUSG00000057400,Ces1c
ENSDARG00000062376,nlgn3b,ENSMUSG00000057074,Ces1g
ENSDARG00000062376,nlgn3b,ENSMUSG00000074156,Ces1h
ENSDARG00000062376,nlgn3b,ENSMUSG00000091813,Ces2h
ENSDARG00000062376,nlgn3b,ENSMUSG00000031725,Ces1f
ENSDARG00000062376,nlgn3b,ENSMUSG00000061959,Ces1e
ENSDARG00000062376,nlgn3b,ENSMUSG00000071047,Ces1a
ENSDARG00000020986,ctu1,ENSMUSG00000038888,Ctu1
ENSDARG00000098626,nitr12,ENSMUSG00000076863,Trav21-dv12
ENSDARG00000098626,nitr12,ENSMUSG00000076758,Trav1
ENSDARG00000098626,nitr12,ENSMUSG00000076928,Trac
ENSDARG00000098626,nitr12,ENSMUSG00000076759,Trav2
ENSDARG00000098626,nitr12,ENSMUSG00000096106,Trav5d-4
ENSDARG00000098626,nitr12,ENSMUSG00000096168,Trav5n-4
ENSDARG00000098626,nitr12,ENSMUSG00000095607,Trav5-4
ENSDARG00000098626,nitr12,ENSMUSG00000076761,Trav5-1
ENSDARG00000098626,nitr12,ENSMUSG00000094792,Trav10d
ENSDARG00000098626,nitr12,ENSMUSG00000096551,Trav10
ENSDARG00000098626,nitr12,ENSMUSG00000095646,Trav10n
ENSDARG00000098626,nitr12,ENSMUSG00000076760,Trav3-1
ENSDARG00000098626,nitr12,ENSMUSG00000076858,Trav3-4
ENSDARG00000098626,nitr12,ENSMUSG00000094877,Trav3n-3
ENSDARG00000098626,nitr12,ENSMUSG00000093953,Trav3d-3
ENSDARG00000098626,nitr12,ENSMUSG00000094828,Trav3-3
ENSDARG00000098626,nitr12,ENSMUSG00000095088,Trav11d
ENSDARG00000098626,nitr12,ENSMUSG00000096615,Trav11
ENSDARG00000098626,nitr12,ENSMUSG00000076864,Trdv1
ENSDARG00000098626,nitr12,ENSMUSG00000076821,Trav8n-2
ENSDARG00000098626,nitr12,ENSMUSG00000076795,Trav8d-2
ENSDARG00000098626,nitr12,ENSMUSG00000076770,Trav8d-1
ENSDARG00000098626,nitr12,ENSMUSG00000076831,Trav8-1
ENSDARG00000098626,nitr12,ENSMUSG00000076866,Trdv2-2
ENSDARG00000003175,stx5al,ENSMUSG00000010110,Stx5a
ENSDARG00000033099,kif7,ENSMUSG00000050382,Kif7
ENSDARG00000024184,narf,ENSMUSG00000000056,Narf
ENSDARG00000009341,nrap,ENSMUSG00000049134,Nrap
ENSDARG00000090804,gpr155a,ENSMUSG00000041762,Gpr155
ENSDARG00000016977,snx27b,ENSMUSG00000028136,Snx27
ENSDARG00000058538,alcamb,ENSMUSG00000022636,Alcam
ENSDARG00000102175,hamp,ENSMUSG00000050440,Hamp
ENSDARG00000102175,hamp,ENSMUSG00000056978,Hamp2
ENSDARG00000018153,nt5c1ba,ENSMUSG00000020622,Nt5c1b
ENSDARG00000054533,araf,ENSMUSG00000001127,Araf
ENSDARG00000038154,isca2,ENSMUSG00000021241,Isca2
ENSDARG00000098726,rptor,ENSMUSG00000025583,Rptor
ENSDARG00000037652,zgc:56409,ENSMUSG00000039244,E130309D02Rik
ENSDARG00000027963,camkva,ENSMUSG00000032936,Camkv
ENSDARG00000011821,plod2,ENSMUSG00000032374,Plod2
ENSDARG00000035875,tmem54b,ENSMUSG00000028786,Tmem54
ENSDARG00000057074,rpgrb,ENSMUSG00000031174,Rpgr
ENSDARG00000075181,crfb16,ENSMUSG00000020009,Ifngr1
ENSDARG00000075181,crfb16,ENSMUSG00000037157,Il22ra1
ENSDARG00000075181,crfb16,ENSMUSG00000032089,Il10ra
ENSDARG00000075181,crfb16,ENSMUSG00000022971,Ifnar2
ENSDARG00000077950,tor1,ENSMUSG00000026848,Tor1b
ENSDARG00000077950,tor1,ENSMUSG00000026849,Tor1a
ENSDARG00000079355,flrt2,ENSMUSG00000047414,Flrt2
ENSDARG00000003144,pxmp2,ENSMUSG00000029499,Pxmp2
ENSDARG00000016968,tmem214,ENSMUSG00000038828,Tmem214
ENSDARG00000090063,fa2h,ENSMUSG00000033579,Fa2h
ENSDARG00000033789,ndufb7,ENSMUSG00000033938,Ndufb7
ENSDARG00000017522,ctdp1,ENSMUSG00000033323,Ctdp1
ENSDARG00000077860,ankhd1,ENSMUSG00000117942,AC115631.1
ENSDARG00000077860,ankhd1,ENSMUSG00000024483,Ankhd1
ENSDARG00000045015,cyp27b1,ENSMUSG00000006724,Cyp27b1
ENSDARG00000008100,slc7a10a,ENSMUSG00000030495,Slc7a10
ENSDARG00000041340,mrpl51,ENSMUSG00000030335,Mrpl51
ENSDARG00000045873,frs2a,ENSMUSG00000020170,Frs2
ENSDARG00000045641,usp3,ENSMUSG00000032376,Usp3
